method,tau_s,noise_level,drift_level,delay_s,runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,mean_full_trust_score,mean_method_score,mean_estimated_noise,mean_estimated_drift,mean_confidence
confidence_only,1.0,0.0,0.2,20.0,30,0.2372859109284315,0.2474221720759165,0.4,0.5333333333333333,0.0,0.4666666666666667,0.2,0.0,0.5,0.0,0.375,0.6312684844747961,0.7455706278421829,0.01865970386330276,0.20183698814084944,0.7455706278421829
freshness_only,1.0,0.0,0.2,20.0,30,0.2372859109284315,,0.4,0.0,1.0,0.0,0.0,0.6,0.0,1.0,,0.6312684844747961,2.061153622438558e-09,0.01865970386330276,0.20183698814084944,0.7455706278421829
full_trust_score,1.0,0.0,0.2,20.0,30,0.2372859109284315,,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6312684844747961,0.6312684844747961,0.01865970386330276,0.20183698814084944,0.7455706278421829
raw_phys_mcp_output,1.0,0.0,0.3,0.1,30,0.30022279399336266,0.30022279399336266,0.5666666666666667,1.0,0.0,0.0,0.5666666666666667,0.0,1.0,0.0,0.5666666666666667,0.8303460150134326,,0.03017999509970827,0.2925026410933904,0.7392292782108698
confidence_only,1.0,0.0,0.3,0.1,30,0.30022279399336266,0.30040579742982826,0.5666666666666667,0.4666666666666667,0.0,0.5333333333333333,0.3,0.0,0.5294117647058824,0.0,0.6428571428571429,0.8303460150134326,0.7392292782108698,0.03017999509970827,0.2925026410933904,0.7392292782108698
freshness_only,1.0,0.0,0.3,0.1,30,0.30022279399336266,0.30022279399336266,0.5666666666666667,1.0,0.0,0.0,0.5666666666666667,0.0,1.0,0.0,0.5666666666666667,0.8303460150134326,0.9048374180359595,0.03017999509970827,0.2925026410933904,0.7392292782108698
full_trust_score,1.0,0.0,0.3,0.1,30,0.30022279399336266,0.3001891441236709,0.5666666666666667,0.9666666666666667,0.0,0.03333333333333333,0.5333333333333333,0.0,0.9411764705882353,0.0,0.5517241379310345,0.8303460150134326,0.8303460150134326,0.03017999509970827,0.2925026410933904,0.7392292782108698
raw_phys_mcp_output,1.0,0.0,0.3,1.0,30,0.2985724722917073,0.2985724722917073,0.4666666666666667,1.0,0.0,0.0,0.4666666666666667,0.0,1.0,0.0,0.4666666666666667,0.6918918393413475,,0.015712529933169718,0.30081341790448196,0.7162138640315996
confidence_only,1.0,0.0,0.3,1.0,30,0.2985724722917073,0.2946417625366366,0.4666666666666667,0.5,0.0,0.5,0.16666666666666666,0.0,0.35714285714285715,0.0,0.3333333333333333,0.6918918393413475,0.7162138640315996,0.015712529933169718,0.30081341790448196,0.7162138640315996
freshness_only,1.0,0.0,0.3,1.0,30,0.2985724722917073,,0.4666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6918918393413475,0.3678794411714423,0.015712529933169718,0.30081341790448196,0.7162138640315996
full_trust_score,1.0,0.0,0.3,1.0,30,0.2985724722917073,0.2852802765725806,0.4666666666666667,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.6918918393413475,0.6918918393413475,0.015712529933169718,0.30081341790448196,0.7162138640315996
raw_phys_mcp_output,1.0,0.0,0.3,3.0,30,0.3008935836163713,0.3008935836163713,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.619737660161554,,0.024712061615452034,0.28810578620868144,0.741981420102485
confidence_only,1.0,0.0,0.3,3.0,30,0.3008935836163713,0.3095822540726028,0.5,0.43333333333333335,0.0,0.5666666666666667,0.26666666666666666,0.0,0.5333333333333333,0.0,0.6153846153846154,0.619737660161554,0.741981420102485,0.024712061615452034,0.28810578620868144,0.741981420102485
freshness_only,1.0,0.0,0.3,3.0,30,0.3008935836163713,,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,,0.619737660161554,0.049787068367863944,0.024712061615452034,0.28810578620868144,0.741981420102485
