seed,experiment,method,coverage,forwarding_rate,rejection_rate,false_acceptance_rate,unsafe_acceptance_frequency,accepted_output_contamination_rate,accepted_mae,fusion_mae,fusion_allowed_rate
303,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7311,0.7311,0.6671843891269711,,
303,random_stress,confidence_only,0.1598,0.7796,0.0606,0.13691697442210368,0.1001,0.6264080100125157,0.4893818698224122,,
303,random_stress,freshness_only,0.0724,0.1888,0.7388,0.07249350294077418,0.053,0.7320441988950276,0.6578625470894028,,
303,random_stress,full_trust_score,0.024,0.7426,0.2334,0.009027492819039803,0.0066,0.275,0.2224873636016583,,
303,fog_fusion,simple_average,,,,,,,,0.14082676384639414,0.83225
303,fog_fusion,confidence_weighted,,,,,,,,0.14054266173646449,0.83225
303,fog_fusion,uncertainty_weighted,,,,,,,,0.13434634147080293,0.83225
303,fog_fusion,trust_only,,,,,,,,0.13756439187081218,0.83225
303,fog_fusion,median,,,,,,,,0.14818078652722846,0.83225
303,fog_fusion,original_trust_uncertainty,,,,,,,,0.13442232621431402,0.83225
303,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.13402602362532032,0.83225
404,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6137896825396826,0.6137896825396826,0.5057176346941012,,
404,controlled_baseline,confidence_only,0.26517857142857143,0.7127976190476191,0.022023809523809525,0.21027961855503474,0.12906746031746033,0.48671904227459784,0.3675839760147463,,
404,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3289154679165993,0.20188492063492064,0.6056547619047619,0.4965000327746101,,
404,controlled_baseline,full_trust_score,0.15882936507936507,0.7904761904761904,0.050694444444444445,0.08162275739453694,0.05009920634920635,0.3154278575890069,0.24334446039333965,,
404,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7301,0.7301,0.664331475667165,,
404,random_stress,confidence_only,0.17,0.7709,0.0591,0.1425832077797562,0.1041,0.6123529411764705,0.488460415611395,,
404,random_stress,freshness_only,0.0683,0.1943,0.7374,0.0687577044240515,0.0502,0.7349926793557833,0.6730875634550959,,
404,random_stress,full_trust_score,0.0231,0.7539,0.223,0.011642240788933023,0.0085,0.36796536796536794,0.26925466899433076,,
404,fog_fusion,simple_average,,,,,,,,0.13760251464400305,0.83475
404,fog_fusion,confidence_weighted,,,,,,,,0.13641919495930716,0.83475
404,fog_fusion,uncertainty_weighted,,,,,,,,0.1301742957609028,0.83475
404,fog_fusion,trust_only,,,,,,,,0.13398437324780782,0.83475
404,fog_fusion,median,,,,,,,,0.1428353270172103,0.83475
404,fog_fusion,original_trust_uncertainty,,,,,,,,0.13004864663986063,0.83475
404,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.12966540667661328,0.83475
505,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6183531746031746,0.6183531746031746,0.5080042631143211,,
505,controlled_baseline,confidence_only,0.2588293650793651,0.7169642857142857,0.024206349206349207,0.2019894111984598,0.12490079365079365,0.4825603679570717,0.36569681419221095,,
505,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3276111021979785,0.20257936507936508,0.6077380952380952,0.49585046789733744,,
505,controlled_baseline,full_trust_score,0.16130952380952382,0.7853174603174603,0.05337301587301587,0.08278517567784373,0.05119047619047619,0.3173431734317343,0.24055817261721354,,
505,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7331,0.7331,0.6610413638540998,,
505,random_stress,confidence_only,0.1624,0.7782,0.0594,0.13231482744509618,0.097,0.5972906403940886,0.4678480776915448,,
